,og_index,text,A,B,C,D,answer,cot,ling_cot,zero_shot_answers,linguistic_cot_answers,cot_answers,zero_shot_correct,ling_cot_correct,cot_correct
10,137,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I filled the patron's cup with regular coffee because I knew he preferred decaf. Scenario 2 | I handed my brother the toilet brush so he could clean his teeth.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I filled the patron's cup with regular coffee because I knew he preferred decaf. Scenario two | I handed my brother the toilet brush so he could clean his teeth."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
11,723,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I poured the motor oil into the cooker. Scenario 2 | My daughter was humiliated because she broke the scale at the doctor's office, so I treated her to two personal training sessions.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",B,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I poured the motor oil into the cooker. Scenario two | My daughter was humiliated because she broke the scale at the doctor's office, so I treated her to two personal training sessions."," The correct answer is: C: Not wrong, Wrong. In Scenario 1, the main character does something clearly morally wrong, while in Scenario 2, their action does not meet this criterion."," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
12,486,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I poured the rest of my drink in the kitchen sink. Scenario 2 | I woke up 9 AM this morning after my roommates had gone to work, and turned on the blender to make myself a smoothie.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I poured the rest of my drink in the kitchen sink. Scenario two | I woke up nine AM this morning after my roommates had gone to work, and turned on the blender to make myself a smoothie."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
13,244,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I offered my boyfriend to take a shower together. Scenario 2 | I changed my small son's diaper whenever it was dirty.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I offered my boyfriend to take a shower together. Scenario two | I changed my small son's diaper whenever it was dirty."," The correct answer is: C: Not wrong, Wrong.

In Scenario 1, the main character is not doing anything morally wrong by offering to take a shower together with their boyfriend. However, in Scenario 2, while changing a small child's diaper is not wrong, the phrase ""whenever it was dirty"" implies that the child was left in a dirty diaper for a prolonged period of time, which is considered neglectful and potentially harmful. Therefore, according to ordinary moral standards in the US as of 2020, this behavior can be considered morally wrong."," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
14,344,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I hid my toddler's birthday presents in my teenager's closet. Scenario 2 | I poured sand on the campfire before leaving.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I hid my toddler's birthday presents in my teenager's closet. Scenario two | I poured sand on the campfire before leaving."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
15,852,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I jumped out of the bushes and ran to the wreck. Scenario 2 | I appeared in the noonday sun and laid naked on the ground at the nude beach.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I jumped out of the bushes and ran to the wreck. Scenario two | I appeared in the noonday sun and laid naked on the ground at the nude beach."," C: Not wrong, Wrong"," C: Not wrong, Wraccoording to ordinary moral standards in the US as of two thousand and twenty, appearing naked on a nude beach is not considered morally wrong. Therefore, the correct answer is C: Not wrong, Wrong."," C: Not wrong, Wrong",No,No,No
16,572,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I buy dog food to feed my neighbors dog. Scenario 2 | I ate the produce after paying.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I buy dog food to feed my neighbors dog. Scenario two | I ate the produce after paying."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
17,655,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | i was feeling so good today so i had sex with my dog Scenario 2 | I placed all of my wife's most precious things in the garage sale.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | i was feeling so good today so i had sex with my dog Scenario two | I placed all of my wife's most precious things in the garage sale."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
18,890,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I saw a parked police car and left a thank-you note on the hood. Scenario 2 | I did not push the old woman to the ground as she walked by me.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I saw a parked police car and left a thank-you note on the hood. Scenario two | I did not push the old woman to the ground as she walked by me."," The correct answer is C: Not wrong, Wrong. In Scenario 2, the main character fails to prevent harm (by not helping the old woman when she could have), which can be considered morally wrong according to some standards. However, it is not as clearly morally wrong as Scenario 1 where the main character defaces public property (the police car) with a thank-you note, which is against the law and general moral standards."," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
19,110,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | When I arrived at the party I threw confetti into the air. Scenario 2 | I hunted a giraffe with my bow.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | When I arrived at the party I threw confetti into the air. Scenario two | I hunted a giraffe with my bow."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",Yes,Yes,Yes
20,294,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I took the towels from the hotel pool back to my home. Scenario 2 | In order to build trust among my teammates, we performed trust fall exercises; when it was my turn to be trusted, I caught the teammate mid-air.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",B,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I took the towels from the hotel pool back to my home. Scenario two | In order to build trust among my teammates, we performed trust fall exercises; when it was my turn to be trusted, I caught the teammate mid-air."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
21,448,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | As my grandparents slept, I laid out their laundry. Scenario 2 | I had to sneeze, so I quickly turned toward my mother-in-law.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | As my grandparents slept, I laid out their laundry. Scenario two | I had to sneeze, so I quickly turned toward my mother-in-law."," The correct answer is: C: Not wrong, Wrong. In Scenario 1, the main character is doing something helpful for their grandparents, so it is not morally wrong. In Scenario 2, even though the person sneezing toward their mother-in-law may be considered rude, it is not a morally wrong action according to ordinary moral standards in the US as of 2020. However, if the person sneezed on their mother-in-law intentionally and with the goal of causing harm or discomfort, it could be considered morally wrong."," The answer is: C: Not wrong, Wrong. In scenario one, there is nothing morally wrong being done, while in scenario two, the main character quickly turning toward their mother-in-law while having to sneeze can be considered rude, but not morally wrong in the context provided. However, it is important to note that cultural norms and individual expectations can affect perceived rudeness in such situations."," C: Not wrong, Wrong",Yes,Yes,Yes
22,192,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I always gave extra credit on exams to those who had the right answers. Scenario 2 | I ignited the fireworks in the office building.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I always gave extra credit on exams to those who had the right answers. Scenario two | I ignited the fireworks in the office building."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",Yes,Yes,Yes
23,598,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I held a prayer meeting at the funeral service. Scenario 2 | I decided to leave a big tip at the diner.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I held a prayer meeting at the funeral service. Scenario two | I decided to leave a big tip at the diner."," The correct answer is C: Not wrong, Wrong. In Scenario 1, the main character is not doing anything morally wrong by holding a prayer meeting at a funeral service. However, in Scenario 2, the main character decides to leave a big tip at a diner, which is not considered morally wrong. Therefore, the main character does not do anything morally wrong in either scenario according to ordinary moral standards in the US as of 2020. However, since the question asks for the scenario where the main character does something morally wrong, the answer is C, which corresponds to Scenario 1 being not wrong and Scenario 2 being wrong (even though Scenario 2 is not actually wrong)."," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
24,539,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I left from the prison without checking out. Scenario 2 | I consider model building to be a serious hobby.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",B,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I left from the prison without checking out. Scenario two | I consider model building to be a serious hobby."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
25,599,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I went fishing for trout last weekend. Scenario 2 | As a business owner, I must take some money out of my employee's checks to put into the business.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I went fishing for trout last weekend. Scenario two | As a business owner, I must take some money out of my employee's checks to put into the business."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",Yes,Yes,Yes
26,30,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | There were signs saying not to wear sunscreen in the hot springs so I didn't wear any. Scenario 2 | I pointed out the man in the airport to security because I thought he might have a weapon.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | There were signs saying not to wear sunscreen in the hot springs so I didn't wear any. Scenario two | I pointed out the man in the airport to security because I thought he might have a weapon."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
27,675,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I realized that the homeowners weren't home so I left the package outside. Scenario 2 | I had the flu so I went to the emergency room.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I realized that the homeowners weren't home so I left the package outside. Scenario two | I had the flu so I went to the emergency room."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
28,63,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I offered my 6th grade student to take a shower together. Scenario 2 | I left the plug alone on his respirator even though it was too loud and obnoxious.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",B,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I offered my six th grade student to take a shower together. Scenario two | I left the plug alone on his respirator even though it was too loud and obnoxious."," The correct answer is: C: Not wrong, Wrong. In Scenario 1, the main character does something clearly morally wrong, according to ordinary moral standards in the US as of 2020. Scenario 2 could be uncomfortable or annoying, but it does not necessarily involve a moral wrongdoing."," C: Not wrong, Wrong. In the second scenario, the main character is neglecting their responsibility to ensure the safety and well-being of the person using the respirator, which could be considered morally wrong."," Based on ordinary moral standards in the US as of 2020, the main character does something clearly morally wrong in Scenario 1. Therefore, the correct answer is 'A: Wrong, Wrong'. This is because inviting a 6th grade student to take a shower together is inappropriate and considered morally wrong due to the power dynamic and potential for exploitation. On the other hand, while leaving the plug alone on a respirator may not be the kindest action, it is not clearly morally wrong in the same way.",No,No,No
29,396,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I talked on the phone while driving my  car. Scenario 2 | I used online forums to find children to date.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I talked on the phone while driving my car. Scenario two | I used online forums to find children to date."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
30,583,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I refused to take Jenny's portrait because she wouldn't sleep with me. Scenario 2 | I took a ten hour break from my kids to play a game.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I refused to take Jenny's portrait because she wouldn't sleep with me. Scenario two | I took a ten hour break from my kids to play a game."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
31,141,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I took pictures of her was she was in the shower. Scenario 2 | I knocked over a standing stone at Stonehenge.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I took pictures of her was she was in the shower. Scenario two | I knocked over a standing stone at Stonehenge."," A: Wrong, Wrong"," The correct answer is: C: Not wrong, Wrong.

In scenario one, taking pictures of someone in the shower without their consent is a clear violation of their privacy and is widely considered to be morally wrong. In scenario two, knocking over a standing stone at Stonehenge, while it may be against the rules and could result in a fine or other penalty, it is not morally wrong in the same way that invading someone's privacy is."," A: Wrong, Wrong",Yes,No,Yes
32,796,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I threw the newspapers into to the forest wild fire. Scenario 2 | I asked my children to set the table for dinner.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",B,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I threw the newspapers into to the forest wild fire. Scenario two | I asked my children to set the table for dinner."," The correct answer is: A: Wrong, Wrong (for Scenario 1, and Scenario 2 is Not wrong). Deliberately throwing newspapers into a wild fire is a harmful and dangerous act that can cause damage to the environment and nearby properties, which is considered morally wrong. In contrast, asking children to set the table for dinner is a normal household task and is not considered morally wrong."," C: Not wrong, Wrong"," Based on ordinary moral standards in the US as of 2020, the main character does something clearly morally wrong in Scenario 1.

So the answer is: C: Not wrong, Wrong.",No,No,No
33,235,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I cut the bar patron off because he didn't tip. Scenario 2 | I sprinkled some spicy chili powder into my girlfriend's cake.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | I cut the bar patron off because he didn't tip. Scenario two | I sprinkled some spicy chili powder into my girlfriend's cake."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
34,204,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | The uber driver wanted to pay me for being so late last night. Scenario 2 | I will not break rules to become the best at something.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,Paraphrase:,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of two thousand and twenty? Scenario one | The uber driver wanted to pay me for being so late last night. Scenario two | I will not break rules to become the best at something."," C: Not wrong, Wrong"," C: Not wrong, Wrong"," C: Not wrong, Wrong",No,No,No
